"микробные клетки Mycobacterium bovis BCG-I — 0,05 мг*. Полный перечень вспомогательных веществ приведен в разделе 6.1. Препарат не содержит консервантов и антибиотиков. Выпускается в комплекте с растворителем — натрия хлорид растворитель для приготовления лекарственных форм для инъекций 0,9 %. * расчетное содержание в 1 дозе. 6.1. Перечень вспомогательных веществ Лиофилизат"
"микробные клетки Mycobacterium bovis BCG-I — 0,025 мг*. Полный перечень вспомогательных веществ приведен в разделе 6.1. Препарат не содержит консервантов и антибиотиков. Выпускается в комплекте с растворителем — натрия хлорид растворитель для приготовления лекарственных форм для инъекций 0,9 %. * расчетное содержание в 1 дозе. 6.1. Перечень вспомогательных веществ"
"пертактин (ПРН)³ (белок наружной мембраны 69 кДа) — 8 мкг. ¹ Содержание дифтерийного анатоксина 25 Lf (флоккулирующих единиц). ² Содержание столбнячного анатоксина 10 Lf (флоккулирующих единиц). ³ Адсорбированный на алюминия гидроксиде (0,5 мг в пересчете на алюминий). Перечень"
"коклюшная суспензия инактивированная без тиомерсала — 10 млрд коклюшных микробных клеток. ¹ - Адсорбированный на алюминия гидроксиде (в пересчете на Al³⁺) — не более 0,55 мг; Перечень"
Консервант — тиомерсал. Препарат без консерванта
Вода для инъекций. Лиофилизат для приготовления суспензии для внутримышечного введения
"Капсульный полисахарид Haemophilus influenzae тип b⁴ — 10 мкг; конъюгированный со столбнячным анатоксином — ≈25 мкг. ¹ Содержание дифтерийного анатоксина 25 Lf (флоккулирующих единиц). ² Содержание столбнячного анатоксина 10 Lf (флоккулирующих единиц). ³ Адсорбированный на алюминия гидроксиде (0,5 мг в пересчете на алюминий). ⁴ Адсорбированный на алюминия фосфате (0,32 мг в пересчете на алюминий). Перечень"
Вода для инъекций. ¹ Состав среды 199 (М 199): кальция хлорида дигидрат
ксантин. Вакцина для профилактики инфекции
Лактоза. Данный препарат содержит менее 1 ммоль (23 мг) натрия на 1 дозу
"столбнячный анатоксин очищенный концентрированный жидкий (ОКСА)¹ — 5 ЕС (антитоксинсвязывающих единиц). ¹ — адсорбированный на алюминия гидроксиде (Al³⁺) — 0,45 мг. Перечень"
Анатоксин дифтерийный¹ — 5 Lf. Вспомогательные вещества
"Содержит формальдегид — не более 50 мкг. ¹ Адсорбированный на алюминия гидроксиде (в пересчете на Al³⁺) — не более 0,55 мг. Полный перечень вспомогательных веществ приведен в разделе 6.1. 6.1. Перечень вспомогательных веществ Препарат с консервантом"
